EUI_kWh_per_sqmt,SQMT,NFLOOR,FLCEILHT,YRCONC,MONUSE,OCCUPYP,WKHRS,NWKER,HEATP,COOLP,DAYLTP,HDD65,CDD65,PUBCLIM
81.31489912983244,7896.755,2,10,4,12,75.0,48,150,100.0,100.0,0.0,3183,1773,4
106.54044472230896,55741.8,8,9,9,12,100.0,60,1901,100.0,99.0,20.0,4709,1715,3
126.77560922958304,15607.704,4,12,2,12,80.0,80,150,80.0,35.0,30.0,7728,69,1
185.67789477350416,3251.605,3,9,4,12,95.0,45,60,95.0,95.0,25.0,2764,2431,4
375.36596803372873,22296.72,4,9,5,12,90.0,168,950,100.0,100.0,50.0,9667,721,1
117.6160893147975,44128.925,994,11,8,12,90.0,56,350,50.0,50.0,30.0,4481,1305,3
514.5234413859793,4552.247,6,15,2,12,95.0,168,180,100.0,90.0,50.0,6410,784,2
217.2087751792473,3112.2505,1,12,5,12,90.0,40,35,100.0,100.0,20.0,5783,1183,2
199.58814811727865,19974.145,6,14,6,12,100.0,55,520,100.0,100.0,25.0,1108,1022,4
95.72639635107674,455.2247,1,9,6,12,100.0,50,8,50.0,50.0,50.0,2046,1179,4
182.2945306278081,1370.31925,2,12,6,12,100.0,72,52,100.0,100.0,5.0,2214,3300,4
316.27612199765605,39483.775,994,10,7,12,100.0,84,1500,100.0,100.0,0.0,7417,689,2
121.14568636193664,92903.0,995,13,7,12,95.0,40,1600,80.0,80.0,20.0,680,1219,4
126.55834926871158,836.127,1,12,6,12,85.0,40,50,40.0,65.0,10.0,1878,880,4
441.2689112220194,1254.1905,4,9,6,12,40.0,60,70,100.0,100.0,0.0,5673,982,2
244.809557398688,45057.955,995,13,4,12,90.0,61,3000,100.0,100.0,0.0,969,1078,4
106.10242670927128,227.61235,1,15,7,12,100.0,53,4,100.0,100.0,0.0,2452,2885,4
246.1856676960834,12077.39,994,12,6,12,92.0,45,300,90.0,95.0,20.0,1662,4047,5
216.8932608119387,4830.956,7,10,4,12,75.0,65,150,100.0,100.0,0.0,6288,856,2
118.73866060783828,5574.18,3,10,2,12,40.0,55,12,100.0,100.0,30.0,5920,1444,3
199.19572428985072,5574.18,5,12,2,12,100.0,105,60,100.0,95.0,10.0,5231,1319,2
153.171702480196,15793.51,4,8,7,12,56.0,70,390,100.0,100.0,10.0,4513,1356,3
235.43581690953647,6967.725,8,10,4,12,80.0,80,90,95.0,80.0,50.0,7270,334,2
289.74354341907826,18394.794,6,9,7,12,100.0,168,650,100.0,100.0,0.0,3105,2855,4
134.94082525232045,22761.235,995,9,5,12,85.0,148,350,92.0,92.0,0.0,928,1291,4
134.3735765449611,32051.535,994,8,6,12,100.0,55,800,80.0,80.0,75.0,5097,1703,3
