method,n,p,replication,MSE_signal,FPR,bulk_ESS,converged_alpha,rhat_max,converged_ok
AEH,200,200,18,1.024014432875315,0.8263157894736842,51.02370597633565,0.5028650847493424,1.227777265194644,False
Horseshoe,200,200,18,0.2502358081568357,0.5368421052631579,83.28961513843107,,1.042858700169291,True
AEH,200,200,19,1.5865407875063917,0.8736842105263158,49.51011916447014,0.5137342326688641,1.3803791155047402,False
Horseshoe,200,200,19,0.2501523983028537,0.6631578947368421,88.51584282451729,,1.0412334675644008,True
AEH,200,200,20,0.8502022320653129,0.8368421052631579,40.96285814525312,0.526913554847969,1.3078012256411096,False
Horseshoe,200,200,20,0.11895870627794755,0.5842105263157895,87.86805652192957,,1.035018580732407,True
AEH,200,200,21,1.9011883315473437,0.9368421052631579,36.441558589542645,0.49908611483260634,1.073414026016084,False
Horseshoe,200,200,21,0.16994801156545997,0.6578947368421053,83.18531863589648,,1.0400546591586286,True
AEH,200,200,22,1.286818690860347,0.8894736842105263,32.40065195590153,0.5130076797135523,1.1969430607413574,False
Horseshoe,200,200,22,0.17724424578373008,0.6578947368421053,74.69344139133133,,1.029862205762231,True
AEH,200,200,23,0.8562395398353255,0.9052631578947369,37.08208916179408,0.5250802827800697,1.568895472043943,False
Horseshoe,200,200,23,0.036024066809062436,0.5473684210526316,85.40788161500053,,1.0555972189800087,False
AEH,200,200,24,0.958084185410258,0.8947368421052632,34.799548246651135,0.49746587737008435,1.1585741801635383,False
Horseshoe,200,200,24,0.10311392608446826,0.6473684210526316,83.65757416009747,,1.0327971572113548,True
AEH,200,200,25,0.9222750074220981,0.8473684210526315,45.915305380309775,0.5181400158363245,1.1869839309925083,False
Horseshoe,200,200,25,0.25568287403435974,0.6105263157894737,92.58708471993909,,1.0468161607021147,True
AEH,200,200,26,0.48846302633561,0.7526315789473684,41.87978006210203,0.5126531178988657,1.1965786097226943,False
Horseshoe,200,200,26,0.23663536184732514,0.5736842105263158,68.22751392163993,,1.095924933145774,False
AEH,200,200,27,0.7948541777033185,0.8894736842105263,36.052404037506136,0.5179763743828318,1.22935987874056,False
Horseshoe,200,200,27,0.21846413887283248,0.6157894736842106,87.2397049179842,,1.037394217932011,True
AEH,200,200,28,0.6131670407502534,0.8210526315789474,48.034880724015295,0.5483791353731228,1.2327618051120017,False
Horseshoe,200,200,28,0.16033328822231346,0.5578947368421052,80.83449924338123,,1.0539409258476948,False
AEH,200,200,29,1.927385878254451,0.868421052631579,41.13937890511767,0.5229817226072332,1.2401772495308272,False
Horseshoe,200,200,29,0.09835421540519715,0.5894736842105263,74.69927058936914,,1.0731968514890105,False
AEH,200,200,30,1.41258223712779,0.9052631578947369,40.56712919095993,0.4980191219961331,1.1770519037701892,False
Horseshoe,200,200,30,0.06528894446966774,0.5842105263157895,92.72115022227631,,1.0323250673894946,True
AEH,200,200,31,1.651636452457332,0.9,35.01013764874565,0.49520922267512074,1.2503164562008706,False
