p,rho,replication,method,wall_clock_s
200,0.7,21,AEH,181.90798739998718
200,0.7,21,Horseshoe,188.09559750001063
200,0.7,21,Regularized Horseshoe,191.80387229999178
200,0.7,22,AEH,113.4624244000006
200,0.7,22,Horseshoe,100.5001229000045
200,0.7,22,Regularized Horseshoe,101.23081800001091
200,0.7,23,AEH,104.04784220000147
200,0.7,23,Horseshoe,120.76440910002566
200,0.7,23,Regularized Horseshoe,174.01416800002335
200,0.7,24,AEH,212.9908041000017
200,0.7,24,Horseshoe,210.609388700017
200,0.7,24,Regularized Horseshoe,178.04623009997886
200,0.7,25,AEH,188.93667759999516
200,0.7,25,Horseshoe,190.98214690000168
200,0.7,25,Regularized Horseshoe,162.74471840000479
200,0.7,26,AEH,96.50144600000931
200,0.7,26,Horseshoe,88.93328709999332
200,0.7,26,Regularized Horseshoe,92.39435909999884
200,0.7,27,AEH,91.15990619998774
200,0.7,27,Horseshoe,94.08116329999757
200,0.7,27,Regularized Horseshoe,86.60208679997595
200,0.7,28,AEH,90.16040999998222
200,0.7,28,Horseshoe,170.09378149997792
200,0.7,28,Regularized Horseshoe,189.89870390002034
200,0.7,29,AEH,185.7338195000193
200,0.7,29,Horseshoe,143.00999669998419
200,0.7,29,Regularized Horseshoe,97.77537980000488
200,0.9,0,AEH,98.3879345000023
200,0.9,0,Horseshoe,93.78750459998264
200,0.9,0,Regularized Horseshoe,93.83954929999891
200,0.9,1,AEH,90.76534129999345
200,0.9,1,Horseshoe,104.88366170000518
200,0.9,1,Regularized Horseshoe,97.24364069997682
200,0.9,2,AEH,89.97835200000554
200,0.9,2,Horseshoe,90.45595070000854
200,0.9,2,Regularized Horseshoe,86.01778529997682
200,0.9,3,AEH,97.48141629999736
200,0.9,3,Horseshoe,89.45307780001895
200,0.9,3,Regularized Horseshoe,94.24761500000022
200,0.9,4,AEH,88.94017079999321
200,0.9,4,Horseshoe,89.33610449999105
200,0.9,4,Regularized Horseshoe,83.90979970002081
200,0.9,5,AEH,94.1884427999903
200,0.9,5,Horseshoe,103.31799329997739
200,0.9,5,Regularized Horseshoe,89.72267479999573
200,0.9,6,AEH,87.72101899998961
200,0.9,6,Horseshoe,88.10051540000131
200,0.9,6,Regularized Horseshoe,199.8061986999819
200,0.9,7,AEH,194.06878840000718
