condition,replication,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,PICP_90,rhat_max,converged_ok
All AEH,13,2.075535600015428,0.005023721274279765,0.13333333333333333,305.13929578444686,0.33279329257387225,0.9766666666666667,1.0009506634171985,True
All AEH,14,1.9405247999820858,0.009306748456251051,0.13333333333333333,296.01861135635556,0.3426935561636816,0.96,1.0014676388857682,True
All AEH,15,1.7699098999728449,0.007081275451149921,0.06666666666666667,292.3496993587373,0.3483399736665347,0.96,1.001351805558426,True
All AEH,16,1.704971499973908,0.007657389526669578,0.2,198.82086233747344,0.351790507294961,0.9566666666666667,1.016090041140213,True
All AEH,17,1.5923631000332534,0.004909224553443808,0.4,287.43508516118493,0.32531889932232805,0.97,1.0028578026439399,True
All AEH,18,1.53237369999988,0.00974465992223403,0.13333333333333333,314.2139968075166,0.33283354214191685,0.9666666666666667,1.0006964104039306,True
All AEH,19,1.5879771999898367,0.0014168551957494109,0.13333333333333333,301.19022145307156,0.3419557372856583,0.9666666666666667,1.0009582696247046,True
All AEH,20,1.8791871999856085,,,,,,1.0949290793333333,False
All AEH,21,1.7277874000137672,0.012860369899075278,0.0,318.433489568417,0.3381555069701956,0.96,1.000927304217191,True
All AEH,22,1.6713225999847054,0.002950863802935594,0.26666666666666666,302.1053628215641,0.32649091443917955,0.95,1.0039195673926735,True
All AEH,23,1.7309234000276774,0.012978996928699407,0.06666666666666667,283.4633085843163,0.351572848641161,0.9666666666666667,1.0014676419153634,True
All AEH,24,1.8296693000011146,,,,,,1.5284637576909412,False
All AEH,25,1.5722506000311114,0.03961755951778108,0.06666666666666667,300.21698246800923,0.32507325642479745,0.9466666666666667,1.0027072860846467,True
All AEH,26,1.5269044000306167,0.007977943509506978,0.0,305.7849738331225,0.33836304773867154,0.95,1.0006292049683878,True
All AEH,27,1.859756899997592,0.004074398431487613,0.13333333333333333,312.9138563792888,0.3371363721595475,0.9633333333333334,1.0007006896724655,True
All AEH,28,1.5868305999902077,,,,,,1.1846986915213218,False
All AEH,29,1.9462721000309102,0.0047544419708203545,0.06666666666666667,270.6428182574234,0.3341403140903879,0.9566666666666667,1.0049857073927178,True
All AEH,30,1.568470600002911,0.02273717858492939,0.06666666666666667,210.44233076288637,0.34151458639866994,0.97,1.025337099075902,True
All AEH,31,1.6269601000240073,0.008870863187318608,0.13333333333333333,270.6678310416336,0.3313206447151782,0.97,1.0015359220110664,True
All AEH,32,1.5448003000346944,,,,,,1.2699489854842323,False
All AEH,33,1.598823199979961,0.0008280327410688657,0.0,304.13868001036246,0.3506201743467927,0.9666666666666667,1.000874122971058,True
All AEH,34,1.66279560001567,,,,,,1.426486386120465,False
All AEH,35,1.6320637000026181,0.004969458466857687,0.2,295.71748076591723,0.33866933414573397,0.96,1.0005821592226616,True
All AEH,36,1.6945545000489801,,,,,,1.2619120102070789,False
All AEH,37,1.5008506000158377,,,,,,1.197475929518165,False
All AEH,38,1.5218918999889866,,,,,,1.5935132520390176,False
All AEH,39,1.6376993999583647,0.008673637238713228,0.0,294.28037562585075,0.3437568894495344,0.9666666666666667,1.0006326774912655,True
All AEH,40,1.572306199988816,0.00997344352673506,0.06666666666666667,256.64174569222786,0.3433474942235374,0.9533333333333334,1.023674960706982,True
All AEH,41,1.636613300011959,0.02633813147534504,0.13333333333333333,307.4158175842066,0.3273438630769485,0.98,1.0017586707501989,True
