rho,group_size,replication,AEH_MSE,HS_MSE,MSE_ratio,AEH_alpha_star
0.3,2,26,0.004471337310170446,0.004647426215393808,0.9621104462852799,0.5372753097837573
0.3,2,27,0.002122015543686475,0.002321793977626231,0.9139551416426678,0.5412200225897095
0.3,2,28,0.004896148955396809,0.004674989527766375,1.0473069354095643,0.5389603054487795
0.3,2,29,0.004237913501374915,0.004441502225021444,0.9541621925798887,0.5410062035563955
0.3,3,0,0.0016901126726259642,0.0017466724220080588,0.9676185707924152,0.5394043247185802
0.3,3,1,0.0017677984892469911,0.001830022972137762,0.9659979771630502,0.5348208878151116
0.3,3,2,0.007164149971611526,0.006664834808650047,1.0749178602766623,0.5349527505091172
0.3,3,3,0.00474444780631966,0.004661222094577229,1.017854912307065,0.5271683175110963
0.3,3,4,0.0027274954616050943,0.002593352303200564,1.0517257752596816,0.5248900576475423
0.3,3,5,0.0005767376539529232,0.0005613051685385967,1.0274939307159885,0.5298125915827377
0.3,3,6,0.002909790203395604,0.002931541030867132,0.9925804117211711,0.529981779862203
0.3,3,7,0.003988586660398164,0.0036172139728347817,1.1026681557553368,0.5288654795279257
0.3,3,8,0.004542327326807363,0.004563901168664704,0.995272938422623,0.5431306929938322
0.3,3,9,0.005670124967701364,0.00542941474698889,1.0443344691701753,0.53654197456995
0.3,3,10,0.005805924645830498,0.00581501174724308,0.9984373029999656,0.5289979555609918
0.3,3,11,0.0035112604682478723,0.0037578262325024736,0.9343860655072377,0.5341314220687664
0.3,3,12,0.0007618984391137145,0.00036836792083649514,2.06830832984475,0.5264017080679688
0.3,3,13,0.003937672422106984,0.0037218216879764724,1.0579959901969047,0.5358073013640151
0.3,3,14,0.001810760684871233,0.0019449522639202951,0.931005206894599,0.5345979203253747
0.3,3,15,0.0033089572727108157,0.0036811632856518514,0.898889023914861,0.5382371625807651
0.3,3,16,0.0035455658124536396,0.003924919622089565,0.9033473685675214,0.5315081814944238
0.3,3,17,0.004513670280268452,0.004506215861596155,1.0016542524595473,0.5327038594941795
0.3,3,18,0.009210092405766233,0.009297031433830568,0.9906487324816418,0.535918334349591
0.3,3,19,0.009534494067519895,0.008989143404893613,1.0606677008100014,0.532379435489883
0.3,3,20,0.00201068953776154,0.0020419491656812746,0.9846912800548073,0.5280696402674316
0.3,3,21,0.005826177419817419,0.005818770113103744,1.0012730021241076,0.5320024320832533
0.3,3,22,0.003895158715953214,0.0038345357593505686,1.0158097251941947,0.5305837315725241
0.3,3,23,0.004301263581044127,0.0044794806947579795,0.9602147825031577,0.5310515562240802
0.3,3,24,0.002297772279501052,0.0020992929806505334,1.094545783118378,0.5361283474553051
0.3,3,25,0.0033173958200104795,0.0034823893063660473,0.9526206084845401,0.5232608708902291
0.3,3,26,0.003905777609570403,0.004143096550740176,0.9427194277846661,0.5180436019885758
0.3,3,27,0.0022967272655364216,0.0029827262136787134,0.7700094145428714,0.5326775877881311
0.3,3,28,0.006165370442573285,0.005982675259591728,1.0305373725054943,0.5304454111397265
0.3,3,29,0.004086563879218977,0.004227189634073901,0.9667330384893573,0.5390636404101938
0.3,5,0,0.0016000935182163075,0.0015590757201764636,1.0263090480526509,0.5057802230789226
0.3,5,1,0.0002132905445950117,0.000212681989491861,1.0028613382101825,0.5129891147413717
0.3,5,2,0.004383896427712088,0.004515797148010697,0.9707912654232678,0.5131347281433095
0.3,5,3,0.00323241367952627,0.0037335346622060935,0.8657784035722014,0.5019621589141325
0.3,5,4,0.0030294181954638546,0.0031058626437080058,0.9753870479755389,0.49686343850007453
0.3,5,5,0.001962662276519078,0.0021401933552124336,0.9170490468718729,0.5047579649548966
0.3,5,6,0.003549196047868267,0.0035056806102746266,1.012412835746104,0.5160495423341331
0.3,5,7,0.005114961447377667,0.004858611319116022,1.052762016021542,0.4940414749600073
0.3,5,8,0.006165495900161677,0.006609502722066682,0.9328229610341742,0.5163024755454386
0.3,5,9,0.005600895645901797,0.00514167901553179,1.0893125823262835,0.5155451589721365
0.3,5,10,0.004529895632975777,0.0040531234698308865,1.1176308016999006,0.5048054416108765
0.3,5,11,0.0030367077597788644,0.002730069225390434,1.112318959364328,0.5068348560386142
0.3,5,12,0.005365211952267916,0.00561361530512641,0.9557498440209024,0.49508836214662155
0.3,5,13,0.0033627836306515486,0.0032992579149976665,1.0192545467164325,0.5191031394274508
0.3,5,14,0.004796239628004463,0.0043877041180593514,1.0931091748560757,0.5099466336379637
0.3,5,15,0.004850011898002177,0.004210316283965549,1.1519352872545054,0.5128647066950142
0.3,5,16,0.004310512552629276,0.003315255286389287,1.3002053176194297,0.5034321670542385
0.3,5,17,0.0031594903904277384,0.003269404755635583,0.9663809245342347,0.5067450047440901
0.3,5,18,0.004726977037232157,0.004605666262911846,1.0263394626087419,0.5130932903705958
0.3,5,19,0.009742896190663257,0.010212143165637034,0.9540500982641184,0.5126960993823364
0.3,5,20,0.000572991416702031,0.000595023974803352,0.9629719825850671,0.49322505077564005
0.3,5,21,0.008245606458448127,0.007522483665694001,1.0961281971341328,0.5061983492892407
0.3,5,22,0.006963830387597172,0.007497923669614351,0.9287678421985524,0.5072091205097261
0.3,5,23,0.0027386292739046405,0.0029506574734644267,0.928142049198669,0.49677844049367625
0.3,5,24,0.005450313340805054,0.005863719942085245,0.9294975535388248,0.5217808617537288
0.3,5,25,0.009640875335335745,0.010905802120988132,0.8840134112448231,0.5115552606380784
0.3,5,26,0.005252367832324105,0.005559183451984216,0.9448092292132217,0.49955682518905453
0.3,5,27,0.0027723266833719618,0.0029737928347527394,0.9322527954784285,0.5118347806195188
0.3,5,28,0.0075668301093271325,0.007845942268031822,0.9644259224488653,0.5048589338307652
0.3,5,29,0.003670315743282815,0.0034098252537965628,1.0763940877017721,0.5180550317178323
0.4,2,0,0.0013702272399274723,0.0012209518752309553,1.1222614647840072,0.5402384784148277
0.4,2,1,0.0017622699370067603,0.0018541122210700583,0.9504656282291838,0.5360693588726838
0.4,2,2,0.007082838434704267,0.007556127872982464,0.9373634953994782,0.5428572267501229
0.4,2,3,0.0043316249811009375,0.005616357954479303,0.7712515862074404,0.5395830382344079
0.4,2,4,0.0020383040752483387,0.0018751753705649583,1.0869938392131466,0.5374352182419178
0.4,2,5,0.0007596846088011465,0.0007604106172390909,0.9990452415820016,0.5327044196200857
0.4,2,6,0.0022277772647248863,0.0028958080604639578,0.7693110932110461,0.5364712485598676
