replication,method,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,rhat_max,converged_ok,PICP_90
23,Horseshoe,254.78815560002113,0.00887430501244998,0.09166666666666666,257.3952973192657,,1.0047234617302405,True,1.0
23,Regularized Horseshoe,248.31472439999925,,,,,16.976885212513267,False,
23,Bayesian Elastic Net,258.0337988999672,0.008776782528345387,0.09583333333333334,254.9036662082607,,1.0051785835276392,True,1.0
24,AEH,260.71337869996205,0.021465081991435618,0.15833333333333333,261.52222716406993,0.6094785623618245,1.007226861915417,True,1.0
24,Horseshoe,249.4256131000002,0.021427100375629744,0.15416666666666667,255.60762983438812,,1.009187989500775,True,1.0
24,Regularized Horseshoe,252.16805869998643,,,,,16.814529452686056,False,
24,Bayesian Elastic Net,254.48931680002715,0.02165688963853907,0.15833333333333333,252.9072125091723,,1.0094828508636302,True,1.0
25,AEH,263.2248981000157,0.01953693355752426,0.2125,248.70499492699852,0.6027190156133861,1.0064536276162839,True,1.0
25,Horseshoe,257.0512748999754,0.019644755268022944,0.20416666666666666,236.98011490234134,,1.0063349753207071,True,1.0
25,Regularized Horseshoe,258.77982250001514,,,,,7.619444745614595,False,
25,Bayesian Elastic Net,258.3237656999845,0.019618765171268718,0.20416666666666666,234.05295752806046,,1.0064441914543374,True,1.0
26,AEH,252.07626960001653,0.012386452925897063,0.17083333333333334,259.64577536799607,0.6042624220029562,1.0061029987111179,True,1.0
26,Horseshoe,253.01508109999122,0.012673192272579152,0.16666666666666666,245.56994718110974,,1.0089271172720806,True,1.0
26,Regularized Horseshoe,263.83740820002276,,,,,1.1483074967306088,False,
26,Bayesian Elastic Net,269.7746197999804,0.012603419882740162,0.17083333333333334,242.7653533248941,,1.0095020428822996,True,1.0
27,AEH,260.8450322000426,0.010368055517257824,0.12916666666666668,245.71358128236244,0.609514013952038,1.007716882640618,True,1.0
27,Horseshoe,261.9249885000172,0.010659973810822457,0.12916666666666668,232.77604850640603,,1.0098736768146008,True,1.0
27,Regularized Horseshoe,265.34836499998346,,,,,7.308145557301113,False,
27,Bayesian Elastic Net,252.41721629997483,0.010609096748155635,0.12916666666666668,230.00965082673792,,1.0098306343655206,True,1.0
28,AEH,263.08885060000466,0.007387135159076582,0.10833333333333334,249.3725932013847,0.6086407428302872,1.0072990130640396,True,1.0
28,Horseshoe,257.7700383000192,0.007294041263500551,0.10833333333333334,238.57611352909444,,1.0135059672679902,True,1.0
28,Regularized Horseshoe,255.77842410001904,,,,,13.637666861692715,False,
28,Bayesian Elastic Net,288.6043774999562,0.007342393091674735,0.1125,235.3885086367522,,1.0145622032159916,True,1.0
29,AEH,267.9447118000244,0.01006413751680827,0.11666666666666667,263.12264263506535,0.6040396314417288,1.0138911738434326,True,1.0
29,Horseshoe,259.12419140001293,0.01029132760056681,0.11666666666666667,260.04170259861206,,1.0134418453371816,True,1.0
29,Regularized Horseshoe,255.2377255000174,,,,,10.591903766251793,False,
29,Bayesian Elastic Net,255.9919214999536,0.010195245118325045,0.11666666666666667,257.751125469894,,1.0138677862844097,True,1.0
