method,s_0,replication,MSE_signal,FPR,bulk_ESS,converged_alpha
ARD,2,14,0.009959829974091151,0.05555555555555555,261.6648641075741,
AEH,2,15,0.002442657205681843,0.05555555555555555,4132.4693452259025,0.21891193569560974
Horseshoe,2,15,0.009474808136573306,0.05555555555555555,2945.228867148401,
Regularized Horseshoe,2,15,0.009858020260150091,0.05555555555555555,4277.375952841782,
Bayesian Elastic Net,2,15,0.003265311271602024,0.05555555555555555,3162.5726277763983,
ARD,2,15,0.008227483549423693,0.05555555555555555,228.96833629561175,
AEH,2,16,0.02618020416634631,0.2777777777777778,1315.420393283112,0.2204849163156779
Horseshoe,2,16,0.0042026762996024165,0.2777777777777778,4925.842214671973,
Regularized Horseshoe,2,16,0.0039193125763196815,0.2777777777777778,3446.0787511394797,
Bayesian Elastic Net,2,16,0.01738033333384255,0.2777777777777778,4887.112174238609,
ARD,2,16,0.005755714354482654,0.2777777777777778,292.9822183508345,
AEH,2,17,0.03209858822805706,0.2777777777777778,2909.3240413410203,0.21869565558383086
Horseshoe,2,17,0.010402272301774958,0.2777777777777778,6112.812146690665,
Regularized Horseshoe,2,17,0.010465256618424094,0.2777777777777778,1391.1267853993274,
Bayesian Elastic Net,2,17,0.02404507439859405,0.2777777777777778,6180.914877780988,
ARD,2,17,0.012086509647106515,0.2777777777777778,409.97910805906275,
AEH,2,18,0.015718112330505227,0.05555555555555555,5164.581091329754,0.22137681144795573
Horseshoe,2,18,0.0012228037805868688,0.1111111111111111,1991.849826088451,
Regularized Horseshoe,2,18,0.001303061283308324,0.1111111111111111,1449.9621761842702,
Bayesian Elastic Net,2,18,0.009801653630446475,0.05555555555555555,1781.1086827490512,
ARD,2,18,0.0020632527018532507,0.1111111111111111,300.8687271355213,
AEH,2,19,0.005113953264671721,0.1111111111111111,2199.718434070399,0.22241914130156182
Horseshoe,2,19,0.0002247800475473665,0.1111111111111111,2755.98343744289,
Regularized Horseshoe,2,19,0.0003683219042878744,0.1111111111111111,1643.1139311460488,
Bayesian Elastic Net,2,19,0.002020537578419696,0.1111111111111111,4225.343127922196,
ARD,2,19,4.370500950396173e-05,0.1111111111111111,238.92332638605748,
AEH,2,20,0.006675956051526847,0.1111111111111111,3642.6505260217928,0.21955898075962615
Horseshoe,2,20,0.0013305935911817476,0.1111111111111111,3011.1362763728725,
Regularized Horseshoe,2,20,0.001275913529042846,0.1111111111111111,1526.1685309318477,
Bayesian Elastic Net,2,20,0.0039567708147539475,0.1111111111111111,2925.190775734524,
ARD,2,20,0.0013068530491541306,0.1111111111111111,398.95896586084416,
AEH,2,21,0.003148218528663099,0.0,4994.929992361952,0.22426889745908024
Horseshoe,2,21,0.0009834219691502982,0.0,3582.2789567933846,
Regularized Horseshoe,2,21,0.0012394372451644967,0.0,3132.9166786803953,
Bayesian Elastic Net,2,21,0.0009440319099909816,0.0,4081.753207143731,
