method,n,replication,bulk_ESS_signal,bulk_ESS_null,bulk_ESS_all
Horseshoe,2000,5,8000.0,1667.2763633325271,3250.457272499395
AEH,2000,6,67.92693936777239,68.18184810254834,68.11812091885434
Horseshoe,2000,6,6449.093817460513,8000.0,7612.273454365129
AEH,2000,7,5875.912312029435,8000.0,7468.978078007359
Horseshoe,2000,7,5788.550644419517,4095.57492731653,4518.818856592277
AEH,2000,8,5268.284576801115,7817.2859247279,7180.035587746204
Horseshoe,2000,8,7035.062413961717,3828.653050952647,4630.255391704914
AEH,2000,9,6811.875090376733,5912.269087196063,6137.17058799123
Horseshoe,2000,9,8000.0,777.3725800534759,2583.029435040107
AEH,2000,10,7671.603326617944,8000.0,7917.900831654486
Horseshoe,2000,10,6410.818058550893,7460.885398340006,7198.368563392728
AEH,2000,11,7663.301795697023,3058.9858038260168,4210.064801793769
Horseshoe,2000,11,8000.0,141.61042874823286,2106.2078215611746
