method,rho,replication,MSE_signal,FPR,converged_alpha,bulk_ESS
Bayesian Elastic Net (alpha=0.1),0.5,46,0.0037993598307260535,0.2,,569.5029528582369
Bayesian Elastic Net (alpha=0.9),0.5,46,0.003829788270889839,0.2,,568.9494408168364
AEH,0.5,47,0.011624889812531566,0.13333333333333333,0.4700928855004769,401.8354915561364
Horseshoe,0.5,47,0.010546111013893047,0.13333333333333333,,1354.0301049791897
Bayesian Elastic Net,0.5,47,0.008969297713768115,0.13333333333333333,,911.6331901093906
Bayesian Elastic Net (alpha=0.1),0.5,47,0.008962409589767743,0.13333333333333333,,915.3649141593805
Bayesian Elastic Net (alpha=0.9),0.5,47,0.009039657397616472,0.13333333333333333,,904.6304146389906
AEH,0.5,48,0.006592468014191541,0.13333333333333333,0.47156888942139963,517.1735979612095
Horseshoe,0.5,48,0.006771084086700073,0.13333333333333333,,765.9233975265104
Bayesian Elastic Net,0.5,48,0.006306703297931258,0.13333333333333333,,1896.8274614386796
Bayesian Elastic Net (alpha=0.1),0.5,48,0.006281170908457989,0.13333333333333333,,1895.7060082631967
Bayesian Elastic Net (alpha=0.9),0.5,48,0.006350707371984404,0.13333333333333333,,1888.772317990349
AEH,0.5,49,0.0019264132820086064,0.4,0.4614505208801887,433.5161231807201
Horseshoe,0.5,49,0.0019213048446492138,0.4666666666666667,,1521.8456150596298
Bayesian Elastic Net,0.5,49,0.001884984475707184,0.4666666666666667,,1571.8506525122893
Bayesian Elastic Net (alpha=0.1),0.5,49,0.0018765741936962077,0.4666666666666667,,1573.259340634026
Bayesian Elastic Net (alpha=0.9),0.5,49,0.001893489214770791,0.4666666666666667,,1568.387496170221
AEH,0.7,0,0.0020019628334820407,0.13333333333333333,0.3925356020519697,2165.72037983253
Horseshoe,0.7,0,0.002422487980510916,0.2,,2840.7904502358897
Bayesian Elastic Net,0.7,0,0.002351081493231502,0.2,,2888.783306770577
Bayesian Elastic Net (alpha=0.1),0.7,0,0.0023460445911125853,0.2,,2888.3030221717313
Bayesian Elastic Net (alpha=0.9),0.7,0,0.00236203952431462,0.2,,2819.1885884125086
AEH,0.7,1,0.022519070388846773,0.0,0.3976590638166353,959.5815143789157
Horseshoe,0.7,1,0.0244888841206922,0.06666666666666667,,2720.993255117882
Bayesian Elastic Net,0.7,1,0.023382703474889074,0.06666666666666667,,2753.4752280409207
Bayesian Elastic Net (alpha=0.1),0.7,1,0.023205122725137285,0.06666666666666667,,2747.5327465888154
Bayesian Elastic Net (alpha=0.9),0.7,1,0.023563704305914507,0.06666666666666667,,2757.711160001072
AEH,0.7,2,0.003040484040257315,0.2,0.3800743583980979,1018.7829738701423
Horseshoe,0.7,2,0.003070920277474988,0.2,,3281.0025845312985
Bayesian Elastic Net,0.7,2,0.003016307183815857,0.2,,3438.869767689979
Bayesian Elastic Net (alpha=0.1),0.7,2,0.0030036821472116215,0.2,,3439.471479399735
